"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCIH520.PS.1","NCIH520.PS.2","NCIH520.PS.3","NCIH520.PR.1","NCIH520.PR.2","NCIH520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"ADA",5.83544562232306,5.88379695831079,6.50883174237198,7.15539199380987,6.93434201804301,7.48281605184922,7.08542716502796,7.06119796902785,5.13743291839697,5.58220154458794,5.2742987820887,6.53279023948033,6.82179575924763,6.50950548368327,6.36885946864929,6.6168799733195,6.42451684777845,6.55992036175042,6.99451038720201,6.35930303205777
"CDH2",4.30499515167715,3.50069712173668,4.01819143095984,3.61563254814838,4.07863421876627,3.68005623581603,3.89304923208828,4.0063746660122,7.43177793142776,7.42773201407796,7.34830888873683,5.38575955552159,4.96561977677388,5.58448707422873,5.90798628930645,5.44238113312203,5.68095595833447,6.04142358393319,5.84116531179825,6.20999801532835
"AKT3",6.82154818783477,6.70723963119947,6.57337817829732,6.96385279127657,6.93848997365433,7.13676911929436,6.82201186892433,7.11375694498944,4.24818506502973,3.99797266494961,4.55164180990775,5.93595827224109,5.69289144544291,6.03598883540209,7.18777160106701,7.30703252598742,7.03231324712073,6.768176765137,6.71536353564419,6.7297006939241
"KCNE3",4.02181401634883,4.26904586900729,4.08550816822651,4.24573251135863,3.82412134600596,3.98637525235912,4.16805272491847,3.29116328156841,9.43461604961404,9.27963085247968,9.5507461406308,10.1626787592148,10.2931127523478,10.3201326980058,4.23821116110018,4.07442046661622,4.37825213422742,4.26753110723372,4.09100333547744,4.26754132650465
"TANK",6.52691048816259,6.57091096417897,6.60751201991129,6.85411076071092,6.96007947075548,6.9547804149485,6.93643372552228,6.94357568664752,7.87761009626344,8.02052822801093,7.90147266123697,7.99383961808133,7.99238016291585,8.20078082872263,6.45298354684981,7.01809791052687,6.66798878323434,7.57315727664676,7.56098836718902,7.59211292711171
"ZNF730",8.34298674288608,7.94762249163005,8.28037789364539,8.72449885551457,8.62486808512655,8.78313139549886,8.68025636429185,8.66335634092273,6.95099125030589,6.7457495868664,6.76687735719461,4.5729329023504,3.88394979319606,5.21202232650216,8.46915906939514,8.48102143362914,8.48747088348208,8.43596937633858,8.3761418681341,8.14886675022908
"TSTD3",3.12640644275016,2.73959638571989,3.66762297811136,2.75899101122813,2.98754220462263,3.26347417823076,3.22952206542447,3.24424284922335,4.59883081793557,5.1913391138984,5.20349484105981,3.58085548248134,4.0816693676253,3.80115960005411,2.54895383722591,2.87954544021755,2.85093161210882,3.21740961752116,2.94273765554215,3.28824950391269
"CD24",3.61243674749865,3.92526163130457,4.48095557809105,4.98456825539203,4.7588023014707,4.85052785583937,4.54246916477831,4.72592350170112,8.28336038904111,8.09990363890926,8.09168818341626,10.610067543968,10.7479889210244,10.7224123485313,4.3866514249906,4.54108672157329,4.61221327968124,4.64351613811233,4.08690688836156,3.64913030270798
"USP17L15",6.84357792988157,6.4832345239948,6.11822913760829,5.82760162706654,5.55757563717726,5.54952828374416,5.43406732847325,5.63232508950705,5.95749869238395,6.099367905333,5.11717265716004,5.5610860502508,5.18778267221113,5.97471244872248,7.75291780382464,7.51012174611718,7.41635181351916,7.51795031280452,7.67254921574417,5.85637029549612
"LOC100419583",5.47184508342261,5.15364452533843,5.78671709725411,7.0599881261372,7.07317101003345,7.0914909557146,7.06726627120202,7.18685241845769,6.88639054139901,7.04404196028401,6.80080729881238,7.0516226474898,7.33626630303155,7.04268306608486,6.12352414957399,6.16968471751087,5.99227022967398,6.00477817290205,6.51027856177856,6.41122797803354
"MAMLD1",4.19193124443848,3.59106297054125,3.85213346395028,4.80653979863795,4.83838723293261,5.11923882003141,4.9047796910297,5.11760002816456,3.23704324945957,3.50180845060423,3.37473039036101,3.2242394996263,3.62762856783435,3.49261829615929,4.48746671490683,3.76106821407243,4.82735033455659,4.69308479087725,4.26775612640305,4.01777714058935
