"","RH41.PS.1","RH41.PS.2","RH41.PS.3","RH41.PR.1","RH41.PR.2","RH41.PR.3","RH41.PR.4","RH41.PR.5","NCI-H520.PS.1","NCI-H520.PS.2","NCI-H520.PS.3","NCI-H520.PR.1","NCI-H520.PR.2","NCI-H520.PR.3","SJCRH30.PS.1","SJCRH30.PS.2","SJCRH30.PS.3","SJCRH30.PR.1","SJCRH30.PR.2","SJCRH30.PR.3"
"TC2000009198.hg.1",5.83544562232306,5.88379695831079,6.50883174237198,7.15539199380987,6.93434201804301,7.48281605184922,7.08542716502796,7.06119796902785,5.13743291839697,5.58220154458794,5.2742987820887,6.53279023948033,6.82179575924763,6.50950548368327,6.36885946864929,6.6168799733195,6.42451684777845,6.55992036175042,6.99451038720201,6.35930303205777
"TC1800008358.hg.1",4.30499515167715,3.50069712173668,4.01819143095984,3.61563254814838,4.07863421876627,3.68005623581603,3.89304923208828,4.0063746660122,7.43177793142776,7.42773201407796,7.34830888873683,5.38575955552159,4.96561977677388,5.58448707422873,5.90798628930645,5.44238113312203,5.68095595833447,6.04142358393319,5.84116531179825,6.20999801532835
"TC0100017984.hg.1",6.82154818783477,6.70723963119947,6.57337817829732,6.96385279127657,6.93848997365433,7.13676911929436,6.82201186892433,7.11375694498944,4.24818506502973,3.99797266494961,4.55164180990775,5.93595827224109,5.69289144544291,6.03598883540209,7.18777160106701,7.30703252598742,7.03231324712073,6.768176765137,6.71536353564419,6.7297006939241
"TC1000010101.hg.1",8.07721314729758,8.13411386303392,8.20822052347201,8.17926630178298,8.21254281054389,8.20618105565004,8.18151203278734,8.16093695701896,9.37123306297205,9.25146698517174,9.48508919221929,8.88868481977702,8.97047259291587,9.24440679114118,8.0910871365954,8.20356482693159,8.02795612496136,8.02210418467399,8.1397544441785,8.00317104664617
"TC1100011614.hg.1",4.02181401634883,4.26904586900729,4.08550816822651,4.24573251135863,3.82412134600596,3.98637525235912,4.16805272491847,3.29116328156841,9.43461604961404,9.27963085247968,9.5507461406308,10.1626787592148,10.2931127523478,10.3201326980058,4.23821116110018,4.07442046661622,4.37825213422742,4.26753110723372,4.09100333547744,4.26754132650465
"TC0X00008273.hg.1",7.5208922609493,7.18492737878164,7.61803302695836,7.78659073894545,7.75651615559867,7.76478227180231,7.48887347495224,7.48348815246974,8.84844387842292,8.73261944733415,8.71156754104871,8.45322113274986,8.63165080113446,8.37037640457986,8.82355283525887,8.757436565226,8.57166446802704,8.23473688185034,8.27437950347356,8.20991030603181
"TC0200009806.hg.1",6.52691048816259,6.57091096417897,6.60751201991129,6.85411076071092,6.96007947075548,6.9547804149485,6.93643372552228,6.94357568664752,7.87761009626344,8.02052822801093,7.90147266123697,7.99383961808133,7.99238016291585,8.20078082872263,6.45298354684981,7.01809791052687,6.66798878323434,7.57315727664676,7.56098836718902,7.59211292711171
"TC0700011550.hg.1",9.99069745490306,9.69905616747049,10.0139063076051,9.66132499330529,9.72669756492287,9.6482124590597,9.50691981964212,9.61192425223958,8.63550910483757,8.60396581687936,8.68021016129422,8.35750945290948,8.35777813445581,8.72481087768166,8.77110044078228,8.54710881469565,8.44440416411908,8.73201181009301,8.73243966065167,8.8790223951635
"TC0800011074.hg.1",6.05308005458669,5.86953724713853,6.17662653382513,5.26110744824228,4.75726887818477,5.5345806448732,4.75088511014549,5.01387821177874,7.13131156808487,7.2532884899738,7.48808324773181,6.25347602337198,6.11857884950125,6.52668562221958,6.64379683125962,6.69863705691283,6.15783181191594,6.947534006918,7.4893594439006,7.51152182676611
"TC0200012058.hg.1",10.6049024770871,10.2960925636637,10.7799765757104,10.7697843029822,11.0889980618551,11.0200397874237,11.0545980596179,11.0732412494541,9.95798491379978,9.93147795374503,9.93640543038787,9.98064318302576,10.0551634500769,9.96199976837296,10.1421011674896,10.0536143919927,9.82014026201368,9.87206679231939,9.86483923301988,9.64425393008004
"TC1900011697.hg.1",8.34298674288608,7.94762249163005,8.28037789364539,8.72449885551457,8.62486808512655,8.78313139549886,8.68025636429185,8.66335634092273,6.95099125030589,6.7457495868664,6.76687735719461,4.5729329023504,3.88394979319606,5.21202232650216,8.46915906939514,8.48102143362914,8.48747088348208,8.43596937633858,8.3761418681341,8.14886675022908
"TC1900011915.hg.1",7.41929989600346,7.1610380984327,7.75288597138706,7.76132100178241,7.87127612120982,7.75395839008811,7.79972372952705,7.56760104020227,5.34673497732207,5.28039319187685,5.86286915643323,6.09418342209377,5.80802405390158,6.15242465976276,8.0294837816558,8.2494372460194,8.18680120932735,7.76800744398119,7.57662222386916,7.5838562196749
"TC0100018222.hg.1",4.10191141074137,4.26279977914694,4.34314127205946,4.06126744999044,3.43760149529297,4.15297508319108,4.42247368599762,4.21766348535274,5.0000215259929,5.48572114443843,5.40011660289908,4.49366408490991,4.51899861425007,4.90534335217446,3.41260149391484,3.6050915577592,3.51065809549669,3.00999138178812,3.59015027053095,3.35281502388516
