"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006494.hg.1","B3GALT6","126792","beta-1,3-galactosyltransferase 6",-0.256362803623261,6.81993599814334,-1.65639851760337,0.113390443179232,0.204837203246134,-6.1602088477321
"2","TC0100006550.hg.1","PRKCZ","5590","protein kinase C zeta",-0.487940780151405,5.64882497667738,-2.64320614780413,0.0156716343403852,0.0409478933385913,-4.37315350702151
"3","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",-0.288784072407787,6.13876528652725,-2.26143583153806,0.0351395496855445,0.0790554494869149,-5.12400440542537
"4","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",0.0531727985221506,7.33393520778367,0.348273426241299,0.731307369641128,0.815892318418897,-7.4422551649676
"5","TC0100006761.hg.1","CA6","765","carbonic anhydrase 6",-0.235340132248827,4.304332842373,-1.12205496241946,0.275251138623017,0.405734725190884,-6.86642692762779
"6","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.675521463015623,5.54892356002988,-3.0519015506441,0.00634071649015966,0.0193906983813998,-3.51003310586911
"7","TC0100006801.hg.1","NMNAT1","64802","nicotinamide nucleotide adenylyltransferase 1",0.329732953541221,6.08161022037314,2.15411957482288,0.0437232235591075,0.0949078879881235,-5.32300360484375
"8","TC0100006861.hg.1","FBXO44","93611","F-box protein 44",-0.178905669452109,5.91772715969243,-1.34440171788399,0.194006983242669,0.309623535494148,-6.59990988565092
"9","TC0100006864.hg.1","DRAXIN","374946","dorsal inhibitory axon guidance protein",-0.0392919533038452,6.16894714052559,-0.217671705298342,0.829910544432313,0.888641494153934,-7.48079720620751
"10","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",-0.116611789480098,6.86007609421639,-0.753154661541758,0.460211757009109,0.59386299747831,-7.21271428756421
"11","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.506119506502862,8.6380799512376,4.72254193645855,0.000133427455984533,0.000742510962990853,0.307414181263622
