"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006494.hg.1","B3GALT6","126792","beta-1,3-galactosyltransferase 6",0.147072571029836,6.81993599814334,1.06242067050867,0.300821064820916,0.415513582971611,-7.04368269474421
"2","TC0100006550.hg.1","PRKCZ","5590","protein kinase C zeta",-0.114875618847632,5.64882497667738,-0.695739707101618,0.49467105001927,0.608320574127283,-7.36827687587359
"3","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",0.00159488052121048,6.13876528652725,0.0139634969026376,0.988998728092922,0.992428285884315,-7.618758374215
"4","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",-0.387703210792719,7.33393520778367,-2.83912964508682,0.0101999093765732,0.0265461385123854,-4.07659687974962
"5","TC0100006761.hg.1","CA6","765","carbonic anhydrase 6",0.128849445963497,4.304332842373,0.686840189881815,0.500142667076505,0.613254219637195,-7.37457201606903
"6","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-0.0779453634109446,5.54892356002988,-0.393710194600891,0.697999148084649,0.775554608982943,-7.53795488800753
"7","TC0100006801.hg.1","NMNAT1","64802","nicotinamide nucleotide adenylyltransferase 1",0.0670166922934214,6.08161022037314,0.489491832606568,0.629867972255028,0.723200818525016,-7.49406619131272
"8","TC0100006861.hg.1","FBXO44","93611","F-box protein 44",-0.647657419281367,5.91772715969243,-5.44133302551527,2.59381955313889e-05,0.000174809090699171,1.85694455270583
"9","TC0100006864.hg.1","DRAXIN","374946","dorsal inhibitory axon guidance protein",0.00381218992313848,6.16894714052559,0.0236117347589433,0.981398454099994,0.986083950191617,-7.61856841342095
"10","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",0.261833414431007,6.86007609421639,1.89069634304008,0.0733779413147387,0.135246762853201,-5.89712648219979
"11","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.0833916601551579,8.6380799512376,0.869962181441834,0.394736979810195,0.51323566877877,-7.22969022789879
"12","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",0.257671308719221,6.16864431736009,1.15517621231912,0.261757668843215,0.375213005183928,-6.94222159930411
"13","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",-0.166489924353968,6.66775039685856,-1.34503741983604,0.193805151800569,0.297420567728416,-6.71179951975089
"14","TC0100006982.hg.1","EFHD2","79180","EF-hand domain family member D2",-0.445589379924021,7.98883031051978,-3.68868340827925,0.00147308040498188,0.00525856767545574,-2.19506017950123
"15","TC0100007160.hg.1","MRTO4","51154","MRT4 homolog, ribosome maturation factor",-0.141692027076258,6.89922431093726,-1.22288569043869,0.235717363251745,0.345480022746306,-6.86348584175171
"16","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",-0.214638568376455,7.01338360114215,-1.54062179183711,0.139225896375012,0.227377742580707,-6.44434738644479
"17","TC0100007283.hg.1","ZBTB40","9923","zinc finger and BTB domain containing 40",-0.127035700809937,6.78563249135381,-0.876485041410556,0.391267775149419,0.509727011519924,-7.22394272826513
"18","TC0100007295.hg.1","EPHB2","2048","EPH receptor B2",0.358774769232274,5.06827881982999,2.61981826905174,0.0164859424719397,0.0396725122895431,-4.53198749440354
"19","TC0100007365.hg.1","NIPAL3","57185","NIPA like domain containing 3",-0.198345875666407,5.11658097279293,-1.49671000045425,0.150226824985187,0.241678318165885,-6.50693020598216
"20","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",-0.023610524524873,8.853685919711,-0.210324146150232,0.835562146974873,0.885883384587511,-7.59570710641646
"21","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",0.170398915130519,7.14726971948139,1.26518250198517,0.220481101577542,0.328980825106033,-6.8123475058306
"22","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",0.00801813962362807,6.39664020877034,0.0449383679522326,0.96460619093436,0.975952175706317,-7.61780242063605
"23","TC0100007434.hg.1","EXTL1","2134","exostosin like glycosyltransferase 1",-0.0552706973863195,5.87566360484657,-0.421268227046319,0.678093253737434,0.761108306619228,-7.52628463253083
"24","TC0100007449.hg.1","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",-0.130846157468623,7.90754326456166,-1.03615959818014,0.312606926517419,0.427330991962105,-7.07103649296414
"25","TC0100007463.hg.1","HMGN2","3151","high mobility group nucleosomal binding domain 2",-0.384030151640793,10.4052389805937,-3.68928613586603,0.00147102249291994,0.00525527325788529,-2.19368095966634
"26","TC0100007477.hg.1","ARID1A","8289","AT-rich interaction domain 1A",-0.4623562587458,8.23826553653001,-3.69789762988887,0.00144192913881114,0.0051833322303537,-2.17397083323895
"27","TC0100007484.hg.1","ZDHHC18","84243","zinc finger DHHC-type containing 18",-0.185086563591545,7.76451254645745,-1.43969591923581,0.165564395632759,0.261447186827993,-6.58602555039537
"28","TC0100007486.hg.1","SFN","2810","stratifin",0.253706446289565,6.52784220243582,1.43321378787015,0.167385922583532,0.26387418129649,-6.59486118288118
"29","TC0100007512.hg.1","GPR3","2827","G protein-coupled receptor 3",0.266322618057986,5.55855520345554,1.83167634244072,0.0820751041804196,0.148731010706592,-5.99507203865458
"30","TC0100007556.hg.1","PHACTR4","65979","phosphatase and actin regulator 4",-0.0800146903787136,7.21819327823201,-0.634488896040996,0.53301896895482,0.645028182504134,-7.41003394170022
"31","TC0100007573.hg.1","OPRD1","4985","opioid receptor delta 1",-0.966041760593911,6.17059141830693,-7.85161388183072,1.65631812044237e-07,2.58207168270983e-06,7.01862190721367
"32","TC0100007574.hg.1","EPB41","2035","erythrocyte membrane protein band 4.1",-0.0475048755932903,7.82131417240594,-0.376615918242066,0.710461390846461,0.786382079755944,-7.54480345327266
"33","TC0100007638.hg.1","SERINC2","347735","serine incorporator 2",0.181960805911918,6.89722912881175,1.55166217107265,0.136567519121238,0.224063647601464,-6.4283886520062
"34","TC0100007645.hg.1","TINAGL1","64129","tubulointerstitial nephritis antigen like 1",0.063133594155774,5.09460855062022,0.419986309279374,0.679014010203563,0.761772441783982,-7.52684470053087
"35","TC0100007690.hg.1","RBBP4","5928","RB binding protein 4, chromatin remodeling factor",-0.227481636630889,8.9667773772446,-2.47837026562925,0.0223262981770955,0.0509466537998777,-4.81628891339211
"36","TC0100007716.hg.1","ZNF362","149076","zinc finger protein 362",-0.276547177490878,7.01133119462173,-2.20112832309642,0.0397516672617808,0.0829428658954687,-5.34830631386683
"37","TC0100007765.hg.1","ZMYM4","9202","zinc finger MYM-type containing 4",-0.248174905419893,8.24023155345745,-2.45384002973369,0.0235184287231376,0.0534299926340173,-4.86476291713206
"38","TC0100007789.hg.1","AGO3","192669","argonaute RISC catalytic component 3",-0.0742431019469674,7.07147197088795,-0.381535386072395,0.706866205853781,0.783151599211057,-7.54286323242607
"39","TC0100007858.hg.1","UTP11","51118","UTP11 small subunit processome component",0.275505938237943,8.14047120925658,2.38077401203023,0.0274305627018744,0.0605355125403615,-5.00760484913111
"40","TC0100007884.hg.1","AKIRIN1","79647","akirin 1",0.139350405150996,8.56643725771643,1.46486991675983,0.15864216793887,0.253105870970699,-6.55140613550433
"41","TC0100007886.hg.1","NDUFS5","4725","NADH:ubiquinone oxidoreductase subunit S5",-0.227724242490115,10.1359462910159,-1.808412276509,0.0857432957114735,0.15363446561305,-6.03307492794137
"42","TC0100007920.hg.1","PPIE","10450","peptidylprolyl isomerase E",-0.416687503085551,7.96834917164712,-3.40862796012095,0.00281328848136317,0.00912790866763243,-2.83074195963844
"43","TC0100007943.hg.1","RLF","6018","rearranged L-myc fusion",-0.225565178307071,8.30945880178825,-2.4851641055218,0.0220062637767005,0.0504900898345508,-4.80281877804334
"44","TC0100007949.hg.1","ZMPSTE24","10269","zinc metallopeptidase STE24",0.133901473682134,8.65423596248483,1.29341015537921,0.210743582931408,0.318354635797263,-6.77739747046524
"45","TC0100007954.hg.1","SMAP2","64744","small ArfGAP2",0.0653380707298625,7.88466406054178,0.479855524312058,0.636583872478691,0.727389765443321,-7.49890325921197
"46","TC0100007968.hg.1","NFYC","4802","nuclear transcription factor Y subunit gamma",0.480628213134716,8.38233099745657,4.56085023767292,0.00019389605405691,0.000958098965083771,-0.174695075387032
"47","TC0100008033.hg.1","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)",-0.189553119495174,4.7655735183921,-0.860308553925193,0.399907945682659,0.518557178911265,-7.23812332934425
"48","TC0100008057.hg.1","CDC20","991","cell division cycle 20",0.27370931072763,9.02615265882797,2.39079037257189,0.026860610789119,0.0595616034260638,-4.98816276545604
"49","TC0100008066.hg.1","PTPRF","5792","protein tyrosine phosphatase receptor type F",-0.132544437683005,7.80573109923212,-1.23013882377094,0.233049001162715,0.342653818794338,-6.85482230303188
"50","TC0100008073.hg.1","KDM4A","9682","lysine demethylase 4A",-0.0198405552107053,7.58329911210745,-0.174832477163843,0.862985173657736,0.906447675597849,-7.60285643986779
"51","TC0100008079.hg.1","IPO13","9670","importin 13",0.271198217770874,6.34816563641642,1.97344578984978,0.0625539751796157,0.11923627216205,-5.75620705515133
"52","TC0100008081.hg.1","ATP6V0B","533","ATPase H+ transporting V0 subunit b",0.261720282141939,8.22296687966974,2.06144551136355,0.0526249858567609,0.10381494866502,-5.60194047243941
"53","TC0100008090.hg.1","DMAP1","55929","DNA methyltransferase 1 associated protein 1",0.179627576775279,7.17969534970848,1.39876633310429,0.177339346346182,0.276551422560734,-6.64127030981587
"54","TC0100008114.hg.1","UROD","7389","uroporphyrinogen decarboxylase",-0.320996856087044,8.69910480436402,-3.18296824283713,0.00471315563465339,0.014051455626816,-3.33343284469449
"55","TC0100008121.hg.1","TOE1","114034","target of EGR1, exonuclease",-0.358801360762097,8.3052069773306,-3.56641011097895,0.00195527602166121,0.0067208077062297,-2.47394857608402
"56","TC0100008124.hg.1","MMACHC","25974","metabolism of cobalamin associated C",-0.388024408296443,7.17024093412142,-3.31647392610934,0.0034756586410846,0.0108511797088481,-3.03722294881816
"57","TC0100008126.hg.1","AKR1A1","10327","aldo-keto reductase family 1 member A1",0.757800250147685,7.59202545517466,6.55512343661608,2.28594682238119e-06,2.25190080587764e-05,4.33100329858281
"58","TC0100008127.hg.1","NASP","4678","nuclear autoantigenic sperm protein",-0.279983462715915,9.60272877124286,-2.22131953220049,0.0381491989687472,0.0800320757704122,-5.31079873895783
"59","TC0100008260.hg.1","CDKN2C","1031","cyclin dependent kinase inhibitor 2C",-0.390361161176778,6.40014399597126,-2.78586722578957,0.0114729379621613,0.0292993396386137,-4.1886905646043
"60","TC0100008271.hg.1","RNF11","26994","ring finger protein 11",0.646895166077571,7.27613447158187,4.76523832484715,0.00012091910296613,0.000634037878520024,0.30027925470071
"61","TC0100008289.hg.1","OSBPL9","114883","oxysterol binding protein like 9",0.353904784323994,8.0454712561048,2.8352104312887,0.0102887758399566,0.0267473510044913,-4.08487580900958
"62","TC0100008308.hg.1","ZFYVE9","9372","zinc finger FYVE-type containing 9",-0.0405495403022691,6.52476269075456,-0.296847196317259,0.769672178906315,0.835149329349951,-7.57279009590158
"63","TC0100008315.hg.1","PRPF38A","84950","pre-mRNA processing factor 38A",0.200970487903406,9.07570604453885,2.2199277409626,0.0382577325286581,0.0801870989622847,-5.31339077174552
"64","TC0100008321.hg.1","GPX7","2882","glutathione peroxidase 7",-0.510790354047715,6.77333490459599,-3.32150570939336,0.00343584491281539,0.0107499885407019,-3.02598892100956
"65","TC0100008332.hg.1","ZYG11B","79699","zyg-11 family member B, cell cycle regulator",0.3405059049703,8.02891176200662,2.73936112800414,0.0127073001723553,0.0318621087833394,-4.28580685867893
"66","TC0100008334.hg.1","ZYG11A","440590","zyg-11 family member A, cell cycle regulator",-0.515850281629325,4.36702794616484,-2.4121583850613,0.0256813182133288,0.0575808732821852,-4.94653701232974
"67","TC0100008369.hg.1","LRRC42","115353","leucine rich repeat containing 42",0.322654932140021,7.24597108433931,3.24855020798163,0.00405933614591532,0.0123894043214159,-3.18838558341045
"68","TC0100008450.hg.1","PRKAA2","5563","protein kinase AMP-activated catalytic subunit alpha 2",0.447017665174315,5.28457242103433,2.90537058481781,0.0088047395319283,0.0234316696867803,-3.9359572792243
