"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","TC0100006494.hg.1","B3GALT6","126792","beta-1,3-galactosyltransferase 6",-0.289550348344304,6.81993599814334,-1.11803370629541,0.276923616750192,0.386540954342294,-6.58752271496423
"2","TC0100006550.hg.1","PRKCZ","5590","protein kinase C zeta",-0.0602856437467594,5.64882497667738,-0.195163593756577,0.847251967469226,0.890326057508515,-7.2008645727425
"3","TC0100006565.hg.1","SKI","6497","SKI proto-oncogene",0.0789375434960062,6.13876528652725,0.36941593420615,0.715735710227648,0.792220018731535,-7.14968998611434
"4","TC0100006698.hg.1","PHF13","148479","PHD finger protein 13",0.543099007609809,7.33393520778367,2.12584117145949,0.0462828514011063,0.0932099182197138,-5.09501495996184
"5","TC0100006761.hg.1","CA6","765","carbonic anhydrase 6",-0.292611932930744,4.304332842373,-0.833740992504351,0.414364052384226,0.524468442465546,-6.86381602060195
"6","TC0100006771.hg.1","H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",-1.13601763904048,5.54892356002988,-3.06716702698681,0.0061262192221131,0.0177833197482029,-3.2032471637439
"7","TC0100006801.hg.1","NMNAT1","64802","nicotinamide nucleotide adenylyltransferase 1",0.143997565915156,6.08161022037314,0.562190612987307,0.580290360025546,0.677247675967285,-7.05692220346471
"8","TC0100006861.hg.1","FBXO44","93611","F-box protein 44",0.320382924781037,5.91772715969243,1.43878301210707,0.165819953655312,0.260164820543577,-6.19228430087388
"9","TC0100006864.hg.1","DRAXIN","374946","dorsal inhibitory axon guidance protein",-0.616969454135674,6.16894714052559,-2.04259849506186,0.0546238417208414,0.106474459052762,-5.24353611988038
"10","TC0100006865.hg.1","AGTRAP","57085","angiotensin II receptor associated protein",-0.754517156951209,6.86007609421639,-2.91227118037924,0.00867042215982427,0.0235310988276591,-3.53591195179294
"11","TC0100006874.hg.1","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.439254634287691,8.6380799512376,2.44940208812465,0.0237403587955557,0.0536184688894746,-4.48444667833351
"12","TC0100006954.hg.1","KAZN","23254","kazrin, periplakin interacting protein",-0.0366352889053516,6.16864431736009,-0.0877905505376599,0.930924239914188,0.952104976983144,-7.21671991141151
"13","TC0100006977.hg.1","TMEM51","55092","transmembrane protein 51",0.670724490138157,6.66775039685856,2.89638675439333,0.00898260499398441,0.0241658693330318,-3.56965102512818
"14","TC0100006982.hg.1","EFHD2","79180","EF-hand domain family member D2",0.853174266207827,7.98883031051978,3.77520271172564,0.00120503140062769,0.0046109879214101,-1.6200415108399
"15","TC0100007160.hg.1","MRTO4","51154","MRT4 homolog, ribosome maturation factor",0.252336687640725,6.89922431093726,1.16409071545602,0.258211358064548,0.366206378469897,-6.5360108056603
"16","TC0100007184.hg.1","OTUD3","23252","OTU deubiquitinase 3",0.931925144540187,7.01338360114215,3.57548764075307,0.00191466158268316,0.00672601147786269,-2.07446702522298
"17","TC0100007283.hg.1","ZBTB40","9923","zinc finger and BTB domain containing 40",-0.00645148466420231,6.78563249135381,-0.0237927350199399,0.981255888553015,0.985299233138248,-7.22045019159784
"18","TC0100007295.hg.1","EPHB2","2048","EPH receptor B2",0.306069649755123,5.06827881982999,1.19463577717001,0.246332318086787,0.352392887716287,-6.50084967293533
"19","TC0100007365.hg.1","NIPAL3","57185","NIPA like domain containing 3",0.254872926233872,5.11658097279293,1.02802616688451,0.316322809790594,0.427488210545958,-6.68286603656254
"20","TC0100007378.hg.1","CLIC4","25932","chloride intracellular channel 4",-0.051061095221959,8.853685919711,-0.243130589352713,0.810403176951323,0.863559656912457,-7.18990718173333
"21","TC0100007406.hg.1","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",0.240985699137822,7.14726971948139,0.95640888074191,0.350388766790122,0.461379898258754,-6.75358370811409
"22","TC0100007412.hg.1","MAN1C1","57134","mannosidase alpha class 1C member 1",-0.114519570045184,6.39664020877034,-0.343075233811937,0.735154535055738,0.807919652814637,-7.15943279767997
"23","TC0100007434.hg.1","EXTL1","2134","exostosin like glycosyltransferase 1",0.0555080714422669,5.87566360484657,0.226144420384597,0.823405261834417,0.873594491817908,-7.19406033890058
